2011-02-04 10:06:31 Debug: Notice (8): Use of undefined constant i - assumed 'i' in [D:\xampp\htdocs\tecno_center\app\views\elements\second_navigation.ctp, line 9]
2011-02-04 10:06:31 Debug: Notice (8): Undefined variable: category in [D:\xampp\htdocs\tecno_center\app\views\elements\second_navigation.ctp, line 9]
2011-02-04 10:06:42 Debug: Notice (8): Undefined variable: category in [D:\xampp\htdocs\tecno_center\app\views\elements\second_navigation.ctp, line 9]
2011-02-04 10:07:13 Debug: Notice (8): Undefined variable: category in [D:\xampp\htdocs\tecno_center\app\views\elements\second_navigation.ctp, line 9]
2011-02-04 10:07:38 Debug: Notice (8): Undefined variable: category in [D:\xampp\htdocs\tecno_center\app\views\elements\second_navigation.ctp, line 1]
2011-02-04 10:07:38 Debug: Notice (8): Undefined variable: category in [D:\xampp\htdocs\tecno_center\app\views\elements\second_navigation.ctp, line 10]
2011-02-04 10:08:23 Debug: Notice (8): Undefined index: name in [D:\xampp\htdocs\tecno_center\app\views\elements\second_navigation.ctp, line 10]
2011-02-04 10:08:23 Debug: Notice (8): Undefined index: Category in [D:\xampp\htdocs\tecno_center\app\views\elements\second_navigation.ctp, line 10]
2011-02-04 10:08:56 Debug: Notice (8): Undefined index: Category in [D:\xampp\htdocs\tecno_center\app\views\elements\second_navigation.ctp, line 10]
2011-02-04 10:09:26 Debug: Notice (8): Undefined index: Category in [D:\xampp\htdocs\tecno_center\app\views\elements\second_navigation.ctp, line 10]
2011-02-04 14:10:03 Debug: Notice (8): Undefined variable: category in [D:\xampp\htdocs\tecno_center\app\views\layouts\home.ctp, line 107]
2011-02-04 14:10:03 Debug: Notice (8): Undefined variable: menuCategories in [D:\xampp\htdocs\tecno_center\app\views\elements\second_navigation.ctp, line 10]
2011-02-04 14:10:51 Debug: Notice (8): Undefined variable: menuCategory in [D:\xampp\htdocs\tecno_center\app\views\layouts\home.ctp, line 107]
2011-02-04 14:10:52 Debug: Notice (8): Undefined variable: menuCategory in [D:\xampp\htdocs\tecno_center\app\views\layouts\home.ctp, line 107]
2011-02-04 14:10:53 Debug: Notice (8): Undefined variable: menuCategory in [D:\xampp\htdocs\tecno_center\app\views\layouts\home.ctp, line 107]
2011-02-04 14:10:53 Debug: Notice (8): Undefined variable: menuCategory in [D:\xampp\htdocs\tecno_center\app\views\layouts\home.ctp, line 107]
2011-02-04 14:10:54 Debug: Notice (8): Undefined variable: menuCategory in [D:\xampp\htdocs\tecno_center\app\views\layouts\home.ctp, line 107]
2011-02-04 14:10:54 Debug: Notice (8): Undefined variable: menuCategory in [D:\xampp\htdocs\tecno_center\app\views\layouts\home.ctp, line 107]
